strain	virus	date	region	country 
A/Florida/81/2018|6|08/30/2018|USA|NA	influenza	2018-08-30	north_america	USA
A/New_Mexico/8027/2019|6|01/11/2019|USA|NA	influenza	2019-01-11	north_america	USA
A/Texas/7429/2018|6|01/06/2018|USA|NA	influenza	2018-01-06	north_america	USA
A/Virginia/18/2018|6|02/14/2018|USA|NA	influenza	2018-02-14	north_america	USA
A/New_Jersey/9387/2019|6|04/03/2019|USA|NA	influenza	2019-04-03	north_america	USA
A/Pennsylvania/517/2018|6|11/11/2018|USA|NA	influenza	2018-11-11	north_america	USA
A/Japan/7845/2018|6|12/28/2018|Japan|NA	influenza	2018-12-28	asia	Japan
A/Colorado/7679/2018|6|12/20/2018|USA|NA	influenza	2018-12-20	north_america	USA
A/Iowa/52/2017|6|12/25/2017|USA|NA	influenza	2017-12-25	north_america	USA
A/Idaho/21/2018|6|04/24/2018|USA|NA	influenza	2018-04-24	north_america	USA
A/Nevada/29/2019|6|05/17/2019|USA|NA	influenza	2019-05-17	north_america	USA
A/California/26/2019|6|01/18/2019|USA|NA	influenza	2019-01-18	north_america	USA
A/New_Hampshire/38/2019|6|12/14/2019|USA|NA	influenza	2019-12-14	north_america	USA
A/Oregon/03/2019|6|01/28/2019|USA|NA	influenza	2019-01-28	north_america	USA
A/Washington/50/2018|6|02/12/2018|USA|NA	influenza	2018-02-12	north_america	USA
A/Oregon/08/2020|6|02/11/2020|USA|NA	influenza	2020-02-11	north_america	USA
A/Oklahoma/05/2020|6|02/09/2020|USA|NA	influenza	2020-02-09	north_america	USA
A/Wyoming/07/2019|6|02/04/2019|USA|NA	influenza	2019-02-04	north_america	USA
A/Florida/48/2018|6|04/03/2018|USA|NA	influenza	2018-04-03	north_america	USA
A/Nevada/01/2018|6|03/18/2018|USA|NA	influenza	2018-03-18	north_america	USA
A/Hawaii/54/2019|6|07/07/2019|USA|NA	influenza	2019-07-07	north_america	USA
A/California/224/2019|6|11/27/2019|USA|NA	influenza	2019-11-27	north_america	USA
A/Louisiana/05/2019|6|01/17/2019|USA|NA	influenza	2019-01-17	north_america	USA
A/Rhode_Island/22/2019|6|04/01/2019|USA|NA	influenza	2019-04-01	north_america	USA
A/Italy/8943/2019|6|01/25/2019|Italy|NA	influenza	2019-01-25	europe	Italy
A/North_Carolina/11/2017|6|02/09/2017|USA|NA	influenza	2017-02-09	north_america	USA
A/Germany/9675/2019|6|04/03/2019|Germany|NA	influenza	2019-04-03	europe	Germany
A/Wuhan/899/2019|6|01/2019|China|NA	influenza	2019-01-20	asia	China
A/Delaware/13/2019|6|02/05/2019|USA|NA	influenza	2019-02-05	north_america	USA
A/California/236/2019|6|11/29/2019|USA|NA	influenza	2019-11-29	north_america	USA
A/Connecticut/31/2017|6|10/07/2017|USA|NA	influenza	2017-10-07	north_america	USA
A/West_Virginia/22/2019|6|03/10/2019|USA|NA	influenza	2019-03-10	north_america	USA
A/Mexico/15017/2017|6|01/26/2017|Mexico|NA	influenza	2017-01-26	south_america	Mexico
A/California/115/2019|6|03/01/2019|USA|NA	influenza	2019-03-01	north_america	USA
A/Arizona/19/2018|6|03/06/2018|USA|NA	influenza	2018-03-06	north_america	USA
A/Montana/41/2018|6|12/03/2018|USA|NA	influenza	2018-12-03	north_america	USA
A/Wisconsin/352/2017|6|12/19/2017|USA|NA	influenza	2017-12-19	north_america	USA
A/Alaska/17/2019|6|02/13/2019|USA|NA	influenza	2019-02-13	north_america	USA
A/California/228/2019|6|12/05/2019|USA|NA	influenza	2019-12-05	north_america	USA
A/Colorado/19/2018|6|03/11/2018|USA|NA	influenza	2018-03-11	north_america	USA
A/Washington/9595/2019|6|04/01/2019|USA|NA	influenza	2019-04-01	north_america	USA
A/California/21/2019|6|01/08/2019|USA|NA	influenza	2019-01-08	north_america	USA
A/Nebraska/05/2018|6|01/22/2018|USA|NA	influenza	2018-01-22	north_america	USA
A/Ohio/8047/2019|6|01/16/2019|USA|NA	influenza	2019-01-16	north_america	USA
A/Idaho/07/2019|6|01/31/2019|USA|NA	influenza	2019-01-31	north_america	USA
A/Nevada/20/2020|6|03/09/2020|USA|NA	influenza	2020-03-09	north_america	USA
A/Pennsylvania/505/2018|6|11/06/2018|USA|NA	influenza	2018-11-06	north_america	USA
A/Hulunbuir/1903/2019|6|01/20/2019|China|NA	influenza	2019-01-20	asia	China
A/Missouri/8775/2019|6|02/28/2019|USA|NA	influenza	2019-02-28	north_america	USA
A/California/82/2018|6|11/16/2018|USA|NA	influenza	2018-11-16	north_america	USA